feature,importance
proto_nsfnet-igp,0.0001862328428738024
proto_i-nlsp,0.0001824380215465698
proto_skip,0.00018166901329168917
proto_micp,0.00018145249604275721
proto_stp,0.0001803453372396047
proto_srp,0.00018033649589208365
proto_ib,0.0001790485021494892
proto_aris,0.00017903386764761445
proto_aes-sp3-d,0.00017741035792876746
proto_cpnx,0.00017603918108722382
proto_l2tp,0.0001756301379561519
proto_ipx-n-ip,0.00017522279240022
proto_ttp,0.00017348482391168528
proto_kryptolan,0.00017310717917399203
proto_dcn,0.0001708453480703022
proto_br-sat-mon,0.00016975495810744317
proto_vines,0.0001690943993552247
proto_leaf-2,0.00016904449058195375
proto_leaf-1,0.00016595493992721647
proto_pvp,0.00016493475927897229
proto_pri-enc,0.00016101654208941412
proto_ip,0.0001608849302381442
proto_rdp,0.0001603397379173168
proto_pipe,0.00016031178364633432
proto_ipcomp,0.000159669186984966
proto_narp,0.00015912380758302715
proto_scps,0.00015721650998911128
proto_pnni,0.0001568368622802983
proto_prm,0.00015604213585179713
proto_idpr-cmtp,0.0001558598880201534
proto_iplt,0.0001534142670788773
proto_hmp,0.00015327872586652543
proto_il,0.0001526903437673987
proto_sat-mon,0.00015121387627271515
proto_mhrp,0.00014815904644234552
proto_xtp,0.0001476618060571833
proto_iso-ip,0.00014761631599325423
proto_visa,0.0001473171851550671
proto_isis,0.00014674524063418098
proto_chaos,0.00014306304511318554
proto_sdrp,0.00014304472716804114
proto_ipv6-opts,0.00014127524990995198
proto_qnx,0.00013954113085259148
proto_sat-expak,0.0001347710842752441
proto_encap,0.000134074934869913
proto_tlsp,0.00012922961278060603
proto_cftp,0.0001279488877282927
proto_ddx,0.00011890810017632154
proto_nvp,0.00011483405405624045
proto_argus,0.00011033975986176571
proto_ipip,9.921352007132268e-05
service_ssh,9.752641904363439e-05
proto_pup,9.750342160769563e-05
proto_emcon,9.681119394292721e-05
proto_bbn-rcc,9.438149768396116e-05
proto_xns-idp,9.244019408314897e-05
proto_egp,8.92484362543174e-05
proto_igp,8.837465804582878e-05
proto_ipnip,8.672329384596033e-05
proto_ggp,8.311453051366264e-05
proto_xnet,7.730470923559044e-05
proto_mux,5.222121431577199e-05
proto_cbt,4.618228789290864e-05
service_ssl,3.2841774063602766e-05
proto_rvd,3.120844032419339e-05
proto_st2,2.958551362821373e-05
state_RST,2.758577439966556e-05
proto_igmp,1.5944392625227762e-05
service_radius,3.3891013729740512e-06
state_URN,0.0
state_no,0.0
state_PAR,0.0
proto_rtp,0.0
state_ECO,0.0
service_nan,0.0
proto_icmp,0.0
proto_nan,0.0
state_nan,0.0
